Location,Reference
Melbourne VIC,IDR023
Mildura VIC,IDR303
Rainbow VIC,IDR953
Yarrawonga VIC,IDR493
Canberra ACT,IDR403
Grafton NSW,IDR283
Moree NSW,IDR533
Namoi NSW,IDR693
Newcastle NSW,IDR043
Sydney NSW,IDR713
Wagga Wagga NSW,IDR553
Wollongong NSW, IDR033
Brisbane QLD,IDR503
Bowen QLD,IDR243
Cairns QLD,IDR193
Emerald QLD,IDR723
Gladstone QLD,IDR233
Gulf of Carpentaria QLD,IDR363
Gympie QLD,IDR083
Longreach QLD,IDR563
Mackay QLD,IDR222
Mount Isa QLD,IDR753
Townsville QLD,IDR733
Warrego QLD,IDR673
Weipa QLD,IDR783
Willis Island QLD,IDR413
Albany WA,IDR313
Broome WA,IDR713
Carnarvon WA,IDR053
Dampier WA,IDR153
Esperance WA,IDR323
Geraldton WA,IDR063
Giles WA,IDR443
Halls Creek WA,IDR393
Kalgoorlie WA,IDR483
Learmonth WA,IDR293
Newdegate WA,IDR383
Perth WA,IDR703
Pt Hedland WA,IDR163
South Doodlakine WA,IDR583
Watheroo WA,IDR793
Wyndham WA,IDR073
Adelaide SA,IDR643
Ceduna SA,IDR333
Mt Gambier SA,IDR413
Woomera SA,IDR273
Hobart TAS,IDR763
North West TAS,IDR523
Alice Springs NT,IDR253
Darwin NT,IDR633
Gove NT,IDR093
Katherine NT,IDR423
Warruwi NT,IDR773
